                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0134,                 1.5274,                 1.3251,                0.54218,                0.41211,                0.34561,                0.24915,                0.94099,                 2.0998,                 1.3209,              0.0010384,              0.0010384,              0.0010384
                     36,                 1.0146,                 1.4562,                 1.3431,                0.56705,                0.49582,                0.45079,                0.34817,                0.90154,                  1.626,                 1.2795,              0.0010362,              0.0010362,              0.0010362
                     37,                0.99366,                 1.4642,                 1.3004,                0.64181,                 0.4512,                0.46072,                 0.3348,                0.98103,                 1.5849,                 1.3812,               0.001034,               0.001034,               0.001034
                     38,                0.98318,                 1.4167,                 1.2978,                0.61889,                0.45934,                0.50589,                0.37575,                0.93937,                 1.6184,                 1.2941,              0.0010318,              0.0010318,              0.0010318
                     39,                0.91583,                 1.3652,                 1.2467,                0.49305,                0.49789,                 0.3945,                0.28634,                0.91598,                 2.0377,                 1.3002,              0.0010296,              0.0010296,              0.0010296
                     40,                 0.9664,                  1.445,                  1.298,                0.61278,                0.50529,                0.47836,                0.35479,                0.90214,                 1.8897,                 1.2843,              0.0010274,              0.0010274,              0.0010274
                     41,                0.95207,                 1.4123,                 1.3196,                0.61302,                0.50266,                0.45298,                0.33378,                0.93399,                 1.7779,                 1.2816,              0.0010252,              0.0010252,              0.0010252
                     42,                0.97063,                 1.4067,                 1.2912,                0.58497,                0.57096,                0.49793,                0.35758,                0.86956,                 1.6273,                  1.293,               0.001023,               0.001023,               0.001023
                     43,                0.91701,                 1.3541,                 1.2461,                0.59749,                0.51463,                0.50892,                0.38869,                0.84307,                 1.6175,                 1.2249,              0.0010208,              0.0010208,              0.0010208
                     44,                0.88697,                 1.3201,                 1.2409,                0.60457,                0.51628,                0.49723,                0.38792,                0.81555,                  2.128,                 1.2173,              0.0010186,              0.0010186,              0.0010186
                     45,                0.91469,                  1.298,                 1.2641,                0.59324,                0.55654,                0.49584,                 0.3695,                0.81973,                 2.4878,                 1.1891,              0.0010164,              0.0010164,              0.0010164
                     46,                0.91976,                 1.3211,                 1.2682,                0.55786,                0.50362,                0.45893,                0.34143,                0.80878,                 1.7817,                 1.2045,              0.0010142,              0.0010142,              0.0010142
                     47,                0.86652,                 1.2494,                 1.2222,                0.59376,                0.48224,                0.50027,                0.37838,                0.78771,                 1.6199,                 1.1493,               0.001012,               0.001012,               0.001012
                     48,                0.90482,                 1.3258,                 1.2401,                0.57003,                0.63803,                0.52261,                0.39357,                 0.8051,                 1.6479,                  1.188,              0.0010098,              0.0010098,              0.0010098
                     49,                0.86528,                  1.285,                 1.2269,                0.64737,                0.46369,                0.52083,                0.39665,                0.84268,                   1.57,                 1.2396,              0.0010076,              0.0010076,              0.0010076
                     50,                0.89045,                 1.2777,                 1.2379,                0.56869,                 0.5615,                0.49538,                0.38623,                0.78232,                 1.7063,                 1.1754,              0.0010054,              0.0010054,              0.0010054
