                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
40,0.77804,0.86416,1.2348,0.6939,0.69858,0.73052,0.56256,0.82876,0.87049,1.3063,0.0092476,0.0092476,0.0092476,0.6962321354705273
41,0.77129,0.86204,1.2313,0.75057,0.65709,0.72427,0.55647,0.82441,0.85237,1.3144,0.0092278,0.0092278,0.0092278,0.7007260862708324
42,0.7716,0.85288,1.2293,0.72788,0.69744,0.7408,0.58203,0.7982,0.81384,1.2663,0.009208,0.009208,0.009208,0.7123349524317346
43,0.75483,0.83249,1.2168,0.75606,0.64326,0.71771,0.54135,0.84844,0.8768,1.3425,0.0091882,0.0091882,0.0091882,0.6951135631592489
44,0.75738,0.82411,1.2111,0.737,0.67015,0.73712,0.57206,0.79872,0.83827,1.2747,0.0091684,0.0091684,0.0091684,0.7019870660555022
45,0.74021,0.81285,1.2071,0.74802,0.65481,0.72814,0.56781,0.80594,0.86654,1.2726,0.0091486,0.0091486,0.0091486,0.6983183653044204
46,0.74946,0.81006,1.2132,0.73436,0.69803,0.74988,0.5885,0.79949,0.82488,1.2887,0.0091288,0.0091288,0.0091288,0.7157342773965192
47,0.74491,0.8081,1.2091,0.7221,0.68558,0.74848,0.58668,0.80165,0.83184,1.2749,0.009109,0.009109,0.009109,0.7033662735849056
48,0.76636,0.8273,1.2092,0.75385,0.68427,0.74323,0.57495,0.80143,0.8249,1.2846,0.0090892,0.0090892,0.0090892,0.7173767689761634
49,0.73853,0.7886,1.1965,0.71913,0.66796,0.70583,0.55371,0.81583,0.89422,1.3006,0.0090694,0.0090694,0.0090694,0.692601164740572
50,0.74709,0.78601,1.1993,0.78156,0.6753,0.75039,0.58316,0.79102,0.83388,1.2742,0.0090496,0.0090496,0.0090496,0.7245548206416539
51,0.73953,0.78866,1.2008,0.75144,0.68178,0.74849,0.58474,0.79865,0.7968,1.2892,0.0090298,0.0090298,0.0090298,0.7149171281450163
52,0.73907,0.77777,1.207,0.74621,0.65868,0.72509,0.56428,0.81156,0.82684,1.2968,0.00901,0.00901,0.00901,0.699718273743852
53,0.73418,0.77603,1.194,0.67777,0.71954,0.72879,0.57006,0.78719,0.80413,1.2583,0.0089902,0.0089902,0.0089902,0.6980306815237849
54,0.72733,0.76516,1.1955,0.69569,0.71207,0.74464,0.5861,0.79588,0.81118,1.2784,0.0089704,0.0089704,0.0089704,0.7037847052054327
55,0.72286,0.7437,1.1887,0.73813,0.67126,0.72934,0.57002,0.791,0.83411,1.2736,0.0089506,0.0089506,0.0089506,0.7031086410432882
56,0.72758,0.75423,1.1999,0.72056,0.66854,0.72275,0.56432,0.80252,0.86573,1.2676,0.0089308,0.0089308,0.0089308,0.6935759591102153
57,0.73324,0.74802,1.1972,0.7011,0.73339,0.75359,0.5869,0.80456,0.78577,1.2967,0.008911,0.008911,0.008911,0.7168815802131768
58,0.72925,0.73842,1.1888,0.7384,0.7133,0.75058,0.58858,0.79886,0.79447,1.278,0.0088912,0.0088912,0.0088912,0.7256330095749811
59,0.71664,0.72717,1.184,0.73814,0.69481,0.74496,0.58465,0.80237,0.8113,1.284,0.0088714,0.0088714,0.0088714,0.7158198868069369
60,0.70665,0.71879,1.1706,0.75198,0.69223,0.7358,0.57353,0.80097,0.83144,1.2871,0.0088516,0.0088516,0.0088516,0.7208690085236912
61,0.71295,0.71133,1.183,0.72178,0.69581,0.7441,0.58148,0.80291,0.8147,1.2903,0.0088318,0.0088318,0.0088318,0.7085571170789862
62,0.71416,0.73154,1.1858,0.76574,0.68816,0.74822,0.58769,0.78286,0.81282,1.2793,0.008812,0.008812,0.008812,0.7248801683747164
63,0.70645,0.72944,1.1781,0.69758,0.68941,0.71793,0.56457,0.79571,0.83308,1.2748,0.0087922,0.0087922,0.0087922,0.6934709374977469
64,0.69729,0.70462,1.1838,0.76082,0.67631,0.7433,0.58638,0.79541,0.79562,1.2774,0.0087724,0.0087724,0.0087724,0.7160802073577199
65,0.70499,0.71651,1.1811,0.71706,0.73721,0.76242,0.5935,0.79737,0.78881,1.2765,0.0087526,0.0087526,0.0087526,0.7269954033295055
66,0.69653,0.69958,1.1739,0.72914,0.68807,0.74472,0.58709,0.79492,0.79415,1.2656,0.0087328,0.0087328,0.0087328,0.7080099065064459
67,0.69459,0.67649,1.17,0.72487,0.71029,0.75611,0.59556,0.79122,0.78804,1.2676,0.008713,0.008713,0.008713,0.7175059398255246
68,0.69911,0.68441,1.1622,0.72813,0.69558,0.74891,0.58751,0.79249,0.82989,1.2675,0.0086932,0.0086932,0.0086932,0.7114829078955687
69,0.68427,0.66934,1.1502,0.78098,0.65149,0.74823,0.58838,0.80534,0.80865,1.2803,0.0086734,0.0086734,0.0086734,0.7103822910078397
70,0.68095,0.66114,1.1452,0.7472,0.66446,0.73663,0.58115,0.78378,0.80585,1.2656,0.0086536,0.0086536,0.0086536,0.7034052278877351
71,0.68185,0.67253,1.1605,0.76997,0.68166,0.74638,0.58224,0.8086,0.80892,1.2802,0.0086338,0.0086338,0.0086338,0.7231288278693606
72,0.68698,0.66551,1.1619,0.74643,0.68217,0.74304,0.5788,0.79057,0.80596,1.276,0.008614,0.008614,0.008614,0.7128547572448551
73,0.67214,0.66602,1.1522,0.74982,0.72072,0.76549,0.59765,0.79231,0.77579,1.2742,0.0085942,0.0085942,0.0085942,0.7349820751560651
74,0.67432,0.66443,1.1561,0.77414,0.65957,0.73825,0.58552,0.78852,0.80795,1.2769,0.0085744,0.0085744,0.0085744,0.7122772663927852
75,0.66935,0.65238,1.1486,0.72325,0.70449,0.74337,0.58166,0.78553,0.80897,1.2636,0.0085546,0.0085546,0.0085546,0.7137467501085631
76,0.67546,0.62708,1.1489,0.73286,0.69113,0.74329,0.58609,0.79173,0.81165,1.2704,0.0085348,0.0085348,0.0085348,0.7113835515698848
77,0.67723,0.63906,1.1494,0.743,0.70654,0.74832,0.58939,0.79941,0.80456,1.2879,0.008515,0.008515,0.008515,0.724311464326614
78,0.66609,0.65075,1.1477,0.77518,0.68235,0.74858,0.59013,0.78878,0.78094,1.2719,0.0084952,0.0084952,0.0084952,0.725808831379114
79,0.65639,0.62846,1.1461,0.73834,0.69454,0.74507,0.59281,0.79152,0.80039,1.2687,0.0084754,0.0084754,0.0084754,0.7157705650159121
80,0.66575,0.63537,1.1511,0.76202,0.70211,0.7508,0.59249,0.8041,0.78612,1.2878,0.0084556,0.0084556,0.0084556,0.7308392864021638
81,0.66503,0.63304,1.1468,0.7349,0.69181,0.74408,0.58288,0.78677,0.81338,1.2746,0.0084358,0.0084358,0.0084358,0.7127042902902483
82,0.65638,0.63953,1.1423,0.72458,0.68216,0.7322,0.58137,0.77478,0.80334,1.267,0.008416,0.008416,0.008416,0.7027304161394429
83,0.65393,0.61889,1.1359,0.73,0.68493,0.74972,0.59274,0.79393,0.78151,1.284,0.0083962,0.0083962,0.0083962,0.7067471889068717
84,0.65143,0.61193,1.1319,0.77667,0.64898,0.75004,0.59698,0.78712,0.79994,1.2759,0.0083764,0.0083764,0.0083764,0.7071066483358468
85,0.64944,0.60777,1.1312,0.76008,0.68766,0.75312,0.5942,0.78517,0.7829,1.2788,0.0083566,0.0083566,0.0083566,0.7220586746238965
86,0.65173,0.61483,1.1311,0.70515,0.74163,0.74261,0.58654,0.78206,0.7964,1.273,0.0083368,0.0083368,0.0083368,0.7229300854310954
