                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0279,                 1.4932,                 1.3334,                0.64791,                0.45449,                0.44154,                0.33108,                0.91681,                 1.6689,                 1.3064,              0.0010384,              0.0010384,              0.0010384
                     36,                0.97846,                 1.4372,                 1.3164,                0.57822,                0.54972,                0.50146,                0.36217,                0.84967,                 1.5544,                 1.2228,              0.0010362,              0.0010362,              0.0010362
                     37,                0.99366,                 1.4592,                 1.3028,                0.64582,                0.57466,                0.55747,                0.42463,                0.84087,                 1.4107,                  1.215,               0.001034,               0.001034,               0.001034
                     38,                0.99223,                 1.4371,                 1.3059,                0.61029,                0.54858,                0.54061,                0.40438,                0.88096,                 1.4534,                  1.252,              0.0010318,              0.0010318,              0.0010318
                     39,                0.90167,                 1.3832,                 1.2507,                  0.721,                0.43655,                0.48081,                0.37961,                0.81983,                 1.4317,                 1.2123,              0.0010296,              0.0010296,              0.0010296
                     40,                0.93553,                 1.3992,                 1.2844,                 0.6926,                0.43269,                0.50905,                0.40131,                0.81226,                  1.538,                 1.2045,              0.0010274,              0.0010274,              0.0010274
                     41,                0.92617,                 1.3932,                 1.3226,                0.67567,                0.50659,                0.51106,                0.37518,                0.88983,                 1.9691,                 1.2887,              0.0010252,              0.0010252,              0.0010252
                     42,                0.94195,                 1.3954,                  1.284,                0.60148,                0.51184,                0.46324,                0.33031,                0.90053,                 1.8097,                 1.3033,               0.001023,               0.001023,               0.001023
                     43,                0.92274,                 1.3395,                 1.2628,                0.54245,                0.45507,                0.45189,                0.34004,                 0.9272,                 1.9178,                 1.3062,              0.0010208,              0.0010208,              0.0010208
                     44,                0.89663,                 1.3477,                 1.2501,                0.75487,                0.37967,                0.45566,                0.34683,                 0.8827,                 1.8868,                 1.2917,              0.0010186,              0.0010186,              0.0010186
                     45,                0.91028,                 1.3166,                 1.2599,                0.62037,                0.63374,                0.56392,                 0.4294,                0.81273,                 1.2279,                  1.188,              0.0010164,              0.0010164,              0.0010164
                     46,                0.90591,                 1.2951,                 1.2504,                0.63554,                0.56666,                0.50212,                0.38399,                0.81502,                 1.4315,                 1.2163,              0.0010142,              0.0010142,              0.0010142
                     47,                0.88069,                 1.2523,                 1.2408,                0.67875,                0.47918,                0.47486,                0.37555,                0.79773,                 1.4666,                 1.1763,               0.001012,               0.001012,               0.001012
                     48,                0.90241,                 1.3311,                 1.2427,                0.57612,                0.50474,                0.51969,                0.41211,                0.74556,                 1.4851,                 1.1424,              0.0010098,              0.0010098,              0.0010098
                     49,                0.84932,                 1.2719,                 1.2272,                0.63422,                0.53387,                0.53582,                0.41358,                0.80202,                 1.5249,                 1.1993,              0.0010076,              0.0010076,              0.0010076
                     50,                0.88816,                 1.2934,                 1.2679,                0.66018,                0.49181,                0.47093,                 0.3569,                0.93353,                  1.769,                 1.3135,              0.0010054,              0.0010054,              0.0010054
                     51,                0.85947,                 1.2565,                 1.2039,                0.66912,                0.50428,                0.58843,                0.46944,                0.80313,                 1.6112,                 1.2317,              0.0010032,              0.0010032,              0.0010032
