                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78802,                0.89425,                 1.2429,                0.77189,                0.68428,                 0.7379,                0.57285,                0.81325,                0.83746,                 1.2961,              0.0093466,              0.0093466,              0.0093466
                     36,                0.78734,                0.88036,                 1.2382,                0.75464,                0.66863,                0.73949,                0.56955,                 0.8235,                0.84644,                 1.3024,              0.0093268,              0.0093268,              0.0093268
                     37,                0.78476,                0.88308,                 1.2421,                0.71853,                0.67403,                0.73777,                0.56392,                0.82806,                0.84875,                 1.3133,               0.009307,               0.009307,               0.009307
                     38,                0.77382,                0.86864,                 1.2438,                0.72729,                0.69656,                0.73587,                 0.5724,                0.81686,                 0.8512,                 1.3068,              0.0092872,              0.0092872,              0.0092872
                     39,                0.77043,                0.86208,                 1.2457,                0.79673,                0.65465,                0.74606,                0.57962,                0.79419,                0.84784,                 1.2758,              0.0092674,              0.0092674,              0.0092674
                     40,                0.76537,                0.84122,                 1.2284,                0.77059,                0.65945,                0.71889,                0.55462,                0.81913,                0.85275,                 1.2995,              0.0092476,              0.0092476,              0.0092476
                     41,                0.75937,                0.83416,                 1.2291,                0.73475,                0.70414,                0.73175,                0.57048,                0.81051,                0.84847,                 1.2833,              0.0092278,              0.0092278,              0.0092278
                     42,                0.75459,                0.81834,                 1.2114,                0.77021,                0.68001,                0.74806,                0.58297,                 0.8119,                 0.8292,                 1.2858,               0.009208,               0.009208,               0.009208
                     43,                0.74648,                0.80788,                 1.2113,                0.76068,                0.65348,                0.74228,                0.57695,                0.79839,                0.83018,                 1.2704,              0.0091882,              0.0091882,              0.0091882
                     44,                  0.744,                0.79949,                 1.2048,                0.77203,                0.68856,                0.75463,                0.59214,                0.80209,                0.81153,                 1.2901,              0.0091684,              0.0091684,              0.0091684
                     45,                 0.7347,                0.78793,                 1.2083,                 0.7473,                0.64782,                0.72005,                0.56233,                0.80483,                0.87026,                 1.2795,              0.0091486,              0.0091486,              0.0091486
                     46,                0.73402,                0.78302,                 1.2117,                0.75516,                0.68274,                0.74927,                0.58281,                0.79849,                0.82639,                  1.286,              0.0091288,              0.0091288,              0.0091288
                     47,                0.73363,                0.79441,                 1.2119,                0.74781,                0.68109,                0.73431,                0.57691,                  0.801,                0.84622,                 1.2759,               0.009109,               0.009109,               0.009109
