                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87875,                 1.1572,                 1.2181,                 0.6506,                0.43754,                0.51378,                 0.3931,                0.80628,                 1.6198,                 1.1712,              0.0010384,              0.0010384,              0.0010384
                     36,                0.84425,                 1.1447,                 1.1959,                0.66076,                0.54363,                0.55863,                0.43421,                0.75757,                 1.6374,                 1.1143,              0.0010362,              0.0010362,              0.0010362
                     37,                0.84884,                 1.1228,                 1.1772,                0.72785,                 0.4997,                0.55558,                0.42608,                0.85042,                 1.4852,                 1.2137,               0.001034,               0.001034,               0.001034
                     38,                0.83976,                 1.0913,                 1.1869,                0.72345,                 0.4484,                0.59097,                0.47163,                0.78109,                 1.9051,                 1.1381,              0.0010318,              0.0010318,              0.0010318
                     39,                0.79668,                 1.0297,                 1.1443,                 0.6764,                 0.5532,                0.52647,                0.41872,                0.76428,                 1.4209,                 1.1345,              0.0010296,              0.0010296,              0.0010296
                     40,                0.81706,                 1.0611,                 1.1752,                 0.7278,                 0.4959,                0.60942,                0.46149,                0.84806,                 1.4415,                 1.2199,              0.0010274,              0.0010274,              0.0010274
                     41,                0.81145,                  1.054,                 1.1983,                0.46506,                0.65782,                0.56251,                0.43566,                0.80565,                 1.3706,                 1.2015,              0.0010252,              0.0010252,              0.0010252
                     42,                0.83867,                 1.0752,                 1.1804,                0.40889,                0.70605,                0.62414,                0.49991,                0.73721,                  1.517,                 1.0966,               0.001023,               0.001023,               0.001023
                     43,                0.81965,                 1.0775,                 1.1723,                0.67063,                0.56027,                0.54583,                0.44402,                0.71032,                 1.6917,                 1.0795,              0.0010208,              0.0010208,              0.0010208
                     44,                0.79476,                 1.0258,                 1.1601,                0.73725,                0.50934,                0.54523,                0.44421,                0.77709,                 1.1806,                 1.1362,              0.0010186,              0.0010186,              0.0010186
                     45,                0.80892,                 1.0113,                 1.1744,                0.73626,                0.51588,                0.58237,                0.43545,                0.78994,                 1.2034,                 1.1297,              0.0010164,              0.0010164,              0.0010164
                     46,                0.78483,                 0.9831,                 1.1464,                 0.7451,                0.51502,                 0.5571,                 0.4399,                 0.7479,                 1.2061,                 1.1206,              0.0010142,              0.0010142,              0.0010142
                     47,                 0.7872,                0.93396,                 1.1582,                0.74209,                0.45991,                0.52327,                 0.4084,                 0.7563,                 1.6256,                 1.1195,               0.001012,               0.001012,               0.001012
                     48,                0.75959,                0.97608,                   1.12,                0.61094,                0.49941,                0.48248,                0.37934,                0.80287,                 1.4246,                 1.1781,              0.0010098,              0.0010098,              0.0010098
                     49,                 0.7419,                0.95007,                 1.1259,                0.65051,                0.47723,                0.51441,                 0.4071,                0.75531,                 1.4929,                 1.1354,              0.0010076,              0.0010076,              0.0010076
                     50,                0.76807,                0.96575,                  1.153,                0.71251,                0.52466,                0.57115,                0.45034,                0.76873,                 1.1364,                 1.1276,              0.0010054,              0.0010054,              0.0010054
                     51,                0.73649,                0.94681,                 1.0976,                0.55079,                0.66679,                0.57952,                0.45571,                0.79324,                 1.8217,                  1.181,              0.0010032,              0.0010032,              0.0010032
