                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
40,0.80107,0.87676,1.1811,0.70365,0.66239,0.72278,0.54549,0.86578,0.92705,1.2653,0.0092476,0.0092476,0.0092476,0.6823968895493544
41,0.79654,0.86977,1.1758,0.66563,0.69804,0.71738,0.54052,0.87642,0.92828,1.2833,0.0092278,0.0092278,0.0092278,0.6814498598634567
42,0.79499,0.87257,1.1772,0.68662,0.68445,0.72005,0.55447,0.85233,0.91205,1.2534,0.009208,0.009208,0.009208,0.6855332827645562
43,0.7898,0.85474,1.1701,0.71478,0.67925,0.72866,0.55431,0.87089,0.90919,1.2795,0.0091882,0.0091882,0.0091882,0.6965622188905547
44,0.78657,0.85088,1.1707,0.75679,0.66051,0.7338,0.5553,0.86872,0.88817,1.2756,0.0091684,0.0091684,0.0091684,0.7053797543215974
45,0.7759,0.83566,1.1635,0.74784,0.63156,0.7201,0.54832,0.869,0.89745,1.2737,0.0091486,0.0091486,0.0091486,0.6847989421487602
46,0.77011,0.82383,1.1595,0.70684,0.68629,0.72058,0.5566,0.84401,0.89123,1.2598,0.0091288,0.0091288,0.0091288,0.6964134339221753
47,0.77451,0.83873,1.1647,0.70489,0.64867,0.69366,0.52377,0.88015,0.91332,1.2815,0.009109,0.009109,0.009109,0.6756124535299507
48,0.79029,0.83701,1.164,0.73991,0.65794,0.73099,0.55336,0.85294,0.87936,1.2665,0.0090892,0.0090892,0.0090892,0.6965216373716778
49,0.76718,0.8082,1.158,0.72262,0.68162,0.73232,0.55765,0.86097,0.86736,1.2641,0.0090694,0.0090694,0.0090694,0.7015214555916367
50,0.78078,0.80947,1.1585,0.67793,0.70668,0.72143,0.54711,0.8562,0.91079,1.2629,0.0090496,0.0090496,0.0090496,0.6920065179364586
51,0.76809,0.81912,1.1583,0.72762,0.65799,0.72976,0.56094,0.82627,0.87576,1.2365,0.0090298,0.0090298,0.0090298,0.6910554684218503
52,0.75906,0.80728,1.1511,0.7221,0.66383,0.72538,0.55994,0.85727,0.88344,1.2717,0.00901,0.00901,0.00901,0.6917400489202196
53,0.7641,0.81421,1.1594,0.79067,0.62019,0.73089,0.55399,0.84906,0.8808,1.2485,0.0089902,0.0089902,0.0089902,0.6951301012148619
54,0.75628,0.79166,1.1445,0.69222,0.70602,0.73723,0.56584,0.85849,0.8604,1.2594,0.0089704,0.0089704,0.0089704,0.6990519001029866
55,0.75231,0.77704,1.1358,0.73381,0.67824,0.74112,0.56344,0.84197,0.84199,1.2553,0.0089506,0.0089506,0.0089506,0.7049315454835169
56,0.76102,0.78542,1.1491,0.72397,0.70068,0.74555,0.56353,0.85313,0.85491,1.2515,0.0089308,0.0089308,0.0089308,0.7121346289965956
57,0.75384,0.77227,1.1453,0.72944,0.68895,0.73523,0.56236,0.84698,0.87554,1.2539,0.008911,0.008911,0.008911,0.7086170771085526
58,0.76613,0.77336,1.1506,0.70293,0.684,0.71929,0.55498,0.85544,0.88641,1.2573,0.0088912,0.0088912,0.0088912,0.6933358136315461
59,0.73739,0.76261,1.1351,0.70934,0.65871,0.72495,0.5573,0.86717,0.91834,1.266,0.0088714,0.0088714,0.0088714,0.6830881201710464
60,0.73855,0.75203,1.1354,0.74087,0.68645,0.74011,0.56302,0.8578,0.86262,1.2527,0.0088516,0.0088516,0.0088516,0.7126225534568282
61,0.74392,0.73737,1.1423,0.77903,0.64587,0.73013,0.56065,0.84838,0.88226,1.2429,0.0088318,0.0088318,0.0088318,0.7062279543827638
62,0.74226,0.76364,1.1383,0.75347,0.65617,0.73831,0.56537,0.84976,0.85207,1.2449,0.008812,0.008812,0.008812,0.7014619475894555
63,0.73666,0.75393,1.1393,0.7516,0.6385,0.72612,0.55884,0.82758,0.86995,1.2454,0.0087922,0.0087922,0.0087922,0.6904490324437091
64,0.73597,0.74382,1.1398,0.74971,0.65246,0.73899,0.564,0.85565,0.87543,1.2526,0.0087724,0.0087724,0.0087724,0.6977125264411591
65,0.74174,0.75141,1.1335,0.75389,0.67722,0.74557,0.5709,0.84566,0.8513,1.2405,0.0087526,0.0087526,0.0087526,0.7135012484015903
66,0.73066,0.73614,1.1299,0.71095,0.68956,0.71635,0.55088,0.83256,0.87298,1.2433,0.0087328,0.0087328,0.0087328,0.7000916551827548
67,0.72158,0.72307,1.1286,0.69684,0.68909,0.71932,0.55383,0.83756,0.85994,1.2414,0.008713,0.008713,0.008713,0.6929433313370805
68,0.72641,0.7153,1.1239,0.688,0.70071,0.71823,0.55403,0.84541,0.87629,1.2569,0.0086932,0.0086932,0.0086932,0.6942968366325581
69,0.72624,0.70879,1.1206,0.70877,0.70132,0.72373,0.55768,0.83141,0.87749,1.2415,0.0086734,0.0086734,0.0086734,0.7050253195186122
70,0.7147,0.70089,1.1142,0.70908,0.68019,0.71383,0.55217,0.82901,0.87951,1.2521,0.0086536,0.0086536,0.0086536,0.6943346148696797
71,0.71415,0.71131,1.1232,0.69452,0.71665,0.73066,0.568,0.83502,0.86512,1.2491,0.0086338,0.0086338,0.0086338,0.7054114784186172
72,0.72547,0.7062,1.1248,0.70529,0.68932,0.72614,0.56556,0.84152,0.87968,1.2376,0.008614,0.008614,0.008614,0.6972135619277073
73,0.70838,0.68536,1.1165,0.68271,0.72456,0.72856,0.55912,0.85002,0.87157,1.2622,0.0085942,0.0085942,0.0085942,0.703012723357991
